Model,MSO54
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,CH4
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09
Record Length,31250,,Record Length,31250,,Record Length,31250,,Record Length,31250
Zero Index,343.00156250,,Zero Index,343.00156250,,Zero Index,343.00156250,,Zero Index,343.00156250
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2,CH3,CH4
-7.04005000e-07,4.68750000e-03,-4.68750000e-04,-7.81250000e-04,-3.98437500e-02
-7.00805000e-07,9.84375000e-03,-2.75000000e-03,-7.81250000e-04,-2.81250000e-02
-6.97605000e-07,7.18750000e-03,-2.62500000e-03,-3.12500000e-05,-3.71875000e-02
-6.94405000e-07,6.25000000e-03,-2.00000000e-03,-2.81250000e-04,-3.79687500e-02
-6.91205000e-07,-1.25000000e-03,-3.12500000e-04,-5.31250000e-04,-4.14062500e-02
-6.88005000e-07,6.87500000e-03,-1.59375000e-03,-2.81250000e-04,-4.46875000e-02
-6.84805000e-07,1.87500000e-03,-8.12500000e-04,-1.78125000e-03,-3.25000000e-02
-6.81605000e-07,1.87500000e-03,-4.37500000e-04,-1.40625000e-03,-2.20312500e-02
-6.78405000e-07,6.87500000e-03,-1.00000000e-03,-1.90625000e-03,-2.96875000e-02
-6.75205000e-07,1.23437500e-02,-1.87500000e-04,-7.81250000e-04,-3.04687500e-02
-6.72005000e-07,1.25000000e-03,-1.18750000e-03,-1.28125000e-03,-3.07812500e-02
-6.68805000e-07,1.68750000e-02,-3.12500000e-04,-1.56250000e-04,-3.00000000e-02
-6.65605000e-07,1.70312500e-02,-1.56250000e-04,-1.15625000e-03,-3.60937500e-02
-6.62405000e-07,7.96875000e-03,-1.71875000e-03,-1.15625000e-03,-2.43750000e-02
-6.59205000e-07,1.90625000e-02,9.37500000e-05,-6.87500000e-04,-2.64062500e-02
-6.56005000e-07,1.12500000e-02,1.87500000e-04,-5.31250000e-04,-2.32812500e-02
-6.52805000e-07,1.32812500e-02,-9.06250000e-04,-4.37500000e-04,-2.73437500e-02
-6.49605000e-07,8.12500000e-03,-6.87500000e-04,-1.65625000e-03,-1.81250000e-02
-6.46405000e-07,4.84375000e-03,-1.75000000e-03,-5.31250000e-04,-3.25000000e-02
-6.43205000e-07,1.32812500e-02,4.06250000e-04,-1.78125000e-03,-2.51562500e-02
-6.40005000e-07,2.81250000e-03,-1.03125000e-03,-1.03125000e-03,-2.60937500e-02
-6.36805000e-07,1.26562500e-02,-1.37500000e-03,-1.28125000e-03,-3.35937500e-02
-6.33605000e-07,1.20312500e-02,-5.62500000e-04,-1.56250000e-04,-3.04687500e-02
-6.30405000e-07,8.28125000e-03,-1.62500000e-03,-6.56250000e-04,-1.85937500e-02
-6.27205000e-07,1.39062500e-02,-8.12500000e-04,-4.06250000e-04,-3.07812500e-02
-6.24005000e-07,1.15625000e-02,-2.25000000e-03,-4.06250000e-04,-2.76562500e-02
-6.20805000e-07,8.90625000e-03,-1.59375000e-03,-2.81250000e-04,-3.48437500e-02
-6.17605000e-07,1.65625000e-02,-5.93750000e-04,-6.56250000e-04,-3.40625000e-02
-6.14405000e-07,1.48437500e-02,-1.50000000e-03,-2.81250000e-04,-3.26562500e-02
-6.11205000e-07,7.03125000e-03,-6.87500000e-04,-1.03125000e-03,-3.90625000e-02
-6.08005000e-07,1.62500000e-02,-1.46875000e-03,5.93750000e-04,-3.23437500e-02
-6.04805000e-07,6.87500000e-03,-1.25000000e-04,-1.56250000e-04,-2.65625000e-02
-6.01605000e-07,1.65625000e-02,-1.75000000e-03,-1.03125000e-03,-1.71875000e-02
-5.98405000e-07,1.57812500e-02,-9.37500000e-04,3.43750000e-04,-3.68750000e-02
-5.95205000e-07,8.12500000e-03,-1.31250000e-03,-7.81250000e-04,-2.90625000e-02
-5.92005000e-07,9.37500000e-03,-3.43750000e-04,-1.40625000e-03,-3.23437500e-02
-5.88805000e-07,4.21875000e-03,-1.87500000e-03,-3.12500000e-05,-3.03125000e-02
-5.85605000e-07,2.81250000e-03,-2.00000000e-03,-1.65625000e-03,-3.46875000e-02
-5.82405000e-07,2.34375000e-03,-8.43750000e-04,-1.40625000e-03,-3.10937500e-02
-5.79205000e-07,3.90625000e-03,-1.46875000e-03,-6.56250000e-04,-2.85937500e-02
-5.76005000e-07,4.06250000e-03,-1.21875000e-03,-2.15625000e-03,-3.04687500e-02
-5.72805000e-07,5.78125000e-03,-2.75000000e-03,2.18750000e-04,-2.03125000e-02
-5.69605000e-07,-3.75000000e-03,-2.34375000e-03,-1.15625000e-03,-2.71875000e-02
-5.66405000e-07,6.71875000e-03,-1.62500000e-03,-4.06250000e-04,-3.51562500e-02
-5.63205000e-07,-2.65625000e-03,-8.43750000e-04,-1.15625000e-03,-3.78125000e-02
-5.60005000e-07,1.56250000e-04,-2.50000000e-03,-2.65625000e-03,-3.20312500e-02
-5.56805000e-07,6.56250000e-03,-4.06250000e-04,-4.06250000e-04,-4.18750000e-02
-5.53605000e-07,-5.15625000e-03,-8.43750000e-04,-1.56250000e-03,-3.62500000e-02
-5.50405000e-07,-1.56250000e-03,-1.75000000e-03,-1.28125000e-03,-3.65625000e-02
-5.47205000e-07,3.90625000e-03,-4.06250000e-04,-5.31250000e-04,-3.64062500e-02
-5.44005000e-07,2.03125000e-03,-2.34375000e-03,-1.65625000e-03,-4.46875000e-02
-5.40805000e-07,-5.00000000e-03,-5.00000000e-04,-1.90625000e-03,-4.17187500e-02
-5.37605000e-07,-1.14062500e-02,-1.46875000e-03,-1.90625000e-03,-3.82812500e-02
-5.34405000e-07,-1.40625000e-03,-8.12500000e-04,-1.43750000e-03,-4.65625000e-02
-5.31205000e-07,-3.12500000e-03,-1.18750000e-03,-6.56250000e-04,-4.01562500e-02
-5.28005000e-07,-1.37500000e-02,-1.06250000e-03,-2.28125000e-03,-5.31250000e-02
-5.24805000e-07,-2.50000000e-03,-1.75000000e-03,-1.53125000e-03,-4.56250000e-02
-5.21605000e-07,-6.25000000e-04,-2.34375000e-03,2.18750000e-04,-5.20312500e-02
-5.18405000e-07,-7.96875000e-03,-1.87500000e-03,-2.81250000e-04,-3.73437500e-02
-5.15205000e-07,-1.40625000e-03,-7.18750000e-04,-1.53125000e-03,-4.40625000e-02
-5.12005000e-07,-1.40625000e-03,-9.06250000e-04,-5.31250000e-04,-3.89062500e-02
-5.08805000e-07,-3.43750000e-03,-1.34375000e-03,-1.28125000e-03,-4.12500000e-02
-5.05605000e-07,3.12500000e-04,-1.87500000e-03,-6.56250000e-04,-4.64062500e-02
-5.02405000e-07,-1.21875000e-02,-1.31250000e-03,-1.31250000e-03,-4.42187500e-02
-4.99205000e-07,2.50000000e-03,-1.21875000e-03,-1.90625000e-03,-4.28125000e-02
-4.96005000e-07,-4.37500000e-03,-1.84375000e-03,-2.06250000e-03,-4.18750000e-02
-4.92805000e-07,-6.40625000e-03,-1.18750000e-03,-1.15625000e-03,-3.84375000e-02
-4.89605000e-07,2.65625000e-03,-1.12500000e-03,-5.31250000e-04,-4.31250000e-02
-4.86405000e-07,1.56250000e-04,-1.31250000e-03,-4.06250000e-04,-3.78125000e-02
-4.83205000e-07,-3.28125000e-03,-1.21875000e-03,-1.03125000e-03,-3.96875000e-02
-4.80005000e-07,-4.21875000e-03,-1.93750000e-03,-5.31250000e-04,-4.01562500e-02
-4.76805000e-07,4.53125000e-03,-3.75000000e-04,-6.56250000e-04,-3.43750000e-02
-4.73605000e-07,5.62500000e-03,-2.59375000e-03,-1.78125000e-03,-5.32812500e-02
-4.70405000e-07,-3.43750000e-03,-2.75000000e-03,-1.78125000e-03,-4.26562500e-02
-4.67205000e-07,7.03125000e-03,-2.87500000e-03,-1.78125000e-03,-4.14062500e-02
-4.64005000e-07,2.65625000e-03,-1.90625000e-03,-1.78125000e-03,-4.45312500e-02
-4.60805000e-07,1.35937500e-02,-1.31250000e-03,-1.28125000e-03,-3.46875000e-02
-4.57605000e-07,-1.56250000e-04,-1.87500000e-03,9.37500000e-05,-4.93750000e-02
-4.54405000e-07,2.50000000e-03,-1.28125000e-03,-1.28125000e-03,-5.28125000e-02
-4.51205000e-07,-4.53125000e-03,-7.18750000e-04,-1.53125000e-03,-5.82812500e-02
-4.48005000e-07,-5.93750000e-03,-3.12500000e-03,-1.15625000e-03,-5.39062500e-02
-4.44805000e-07,-4.53125000e-03,-1.50000000e-03,-1.53125000e-03,-5.43750000e-02
-4.41605000e-07,4.37500000e-03,-1.09375000e-03,-1.28125000e-03,-4.60937500e-02
-4.38405000e-07,-3.12500000e-04,-1.75000000e-03,-2.28125000e-03,-5.43750000e-02
-4.35205000e-07,-8.59375000e-03,-2.46875000e-03,-1.40625000e-03,-4.42187500e-02
-4.32005000e-07,-5.46875000e-03,-2.25000000e-03,-1.31250000e-03,-5.53125000e-02
-4.28805000e-07,-1.09375000e-02,-1.31250000e-03,-2.53125000e-03,-5.01562500e-02
-4.25605000e-07,-1.09375000e-03,-1.50000000e-03,-1.78125000e-03,-4.21875000e-02
-4.22405000e-07,2.81250000e-03,-1.34375000e-03,-1.40625000e-03,-4.85937500e-02
-4.19205000e-07,4.68750000e-03,-1.12500000e-03,-1.65625000e-03,-5.23437500e-02
-4.16005000e-07,-1.09375000e-03,-1.96875000e-03,-1.15625000e-03,-4.67187500e-02
-4.12805000e-07,7.81250000e-03,-6.25000000e-05,-1.53125000e-03,-4.95312500e-02
-4.09605000e-07,1.25000000e-02,-1.34375000e-03,-5.31250000e-04,-5.25000000e-02
-4.06405000e-07,-3.75000000e-03,-1.00000000e-03,-2.03125000e-03,-5.18750000e-02
-4.03205000e-07,4.06250000e-03,-5.62500000e-04,-2.03125000e-03,-5.04687500e-02
-4.00005000e-07,-2.81250000e-03,-8.12500000e-04,-1.65625000e-03,-3.56250000e-02
