Model,MSO54
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,CH4
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09
Record Length,31250,,Record Length,31250,,Record Length,31250,,Record Length,31250
Zero Index,343.90156250,,Zero Index,343.90156250,,Zero Index,343.90156250,,Zero Index,343.90156250
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2,CH3,CH4
-8.95685000e-07,8.12500000e-03,4.37500000e-04,-1.15625000e-03,-4.00000000e-02
-8.92485000e-07,1.85937500e-02,-1.34375000e-03,-1.40625000e-03,-3.98437500e-02
-8.89285000e-07,1.23437500e-02,-1.84375000e-03,3.43750000e-04,-3.06250000e-02
-8.86085000e-07,8.90625000e-03,-4.37500000e-04,9.37500000e-05,-3.68750000e-02
-8.82885000e-07,1.09375000e-02,-8.75000000e-04,-4.06250000e-04,-2.18750000e-02
-8.79685000e-07,7.18750000e-03,-9.68750000e-04,-7.81250000e-04,-2.59375000e-02
-8.76485000e-07,5.31250000e-03,-5.31250000e-04,4.68750000e-04,-3.35937500e-02
-8.73285000e-07,1.60937500e-02,3.12500000e-04,9.37500000e-05,-3.06250000e-02
-8.70085000e-07,9.37500000e-04,2.81250000e-04,-7.81250000e-04,-2.81250000e-02
-8.66885000e-07,1.56250000e-03,-1.53125000e-03,-2.31250000e-03,-3.53125000e-02
-8.63685000e-07,7.81250000e-03,-9.37500000e-04,-1.06250000e-03,-3.53125000e-02
-8.60485000e-07,-4.68750000e-04,-4.06250000e-04,-1.15625000e-03,-2.65625000e-02
-8.57285000e-07,4.37500000e-03,-1.53125000e-03,-1.65625000e-03,-3.40625000e-02
-8.54085000e-07,-1.71875000e-03,-1.65625000e-03,-1.15625000e-03,-3.95312500e-02
-8.50885000e-07,-1.56250000e-03,-2.81250000e-04,-3.12500000e-05,-3.56250000e-02
-8.47685000e-07,1.17187500e-02,7.18750000e-04,-7.81250000e-04,-3.21875000e-02
-8.44485000e-07,1.09375000e-02,-4.68750000e-04,4.37500000e-04,-4.15625000e-02
-8.41285000e-07,7.18750000e-03,-5.93750000e-04,-1.78125000e-03,-3.65625000e-02
-8.38085000e-07,7.50000000e-03,-1.09375000e-03,-7.81250000e-04,-4.60937500e-02
-8.34885000e-07,1.06250000e-02,-7.81250000e-04,-2.15625000e-03,-3.00000000e-02
