,0
180,-7.823468660014894
181,-7.869861270805822
182,-7.9483238173082675
183,-8.056372826524486
184,-8.190562250143202
185,-8.34647873311412
186,-8.518743202755038
187,-8.701041889567142
188,-8.886213693353508
189,-9.066420823910686
190,-9.233424114524468
191,-9.37897194244767
192,-9.495292196367213
193,-9.575652355370162
194,-9.6149283539227
195,-9.610105469567042
196,-9.560631053179103
197,-9.468553777957649
198,-9.338416096284439
199,-9.176908640260912
200,-8.992336317846295
201,-8.793974890333962
202,-8.591407108506619
203,-8.393918559763435
204,-8.210010350627842
205,-8.047056587716712
206,-7.911106997151632
207,-7.806814137622828
208,-7.737452584082009
209,-7.704993685086177
210,-7.710202072467121
211,-7.7527266997857796
212,-7.831167828765261
213,-7.943110752845084
214,-8.085126468153817
215,-8.252748717908425
216,-8.4404456825559
217,-8.641612635632521
218,-8.848618122639705
219,-9.052938882633535
220,-9.245415433712296
221,-9.416648578337583
222,-9.557535764189472
223,-9.659916549721489
224,-9.717263390274855
225,-9.725326241392791
226,-9.682627282104212
227,-9.590713228350676
228,-9.454108477038753
229,-9.279965245367668
230,-9.07746262280673
231,-8.857049202445221
232,-8.629642647814215
233,-8.405891794220508
234,-8.195578705304648
235,-8.007200277304262
236,-7.847732344534838
237,-7.722551297512474
238,-7.635472019796466
239,-7.588855808279953
240,-7.583745108232784
241,-7.619990108057451
242,-7.696342777749137
243,-7.8105050548772805
244,-7.959128795205297
245,-8.13777569316123
246,-8.340855771829263
247,-8.561573154965476
248,-8.791916893392216
249,-9.022740807712864
250,-9.243976686137422
251,-9.445016141043613
252,-9.615274975470275
253,-9.744919621157912
254,-9.82569236361353
255,-9.851730609570335
256,-9.820249326208538
257,-9.731958122638375
258,-9.591121073047328
259,-9.405232088755763
260,-9.184353755341503
261,-8.940230514207869
262,-8.685319928400123
263,-8.431882234890269
264,-8.191234861056554
265,-7.973229507471659
266,-7.785960273495742
267,-7.635673252088739
268,-7.526825745610845
269,-7.462235977418652
270,-7.443268023619951
271,-7.470007047017103
272,-7.541392954593932
