L,γ = 0.04,γ = 0.1,γ = 0.2,γ = 0.4,γ = 0.67,γ = 1.0,γ = 1.5,γ = 2.5,γ = 5.0,γ = 10.0,γ = 25.0
0.4168336673346693,0.9656027891944815,0.9162126399131936,0.8394456015367034,0.7046689179393179,0.5563845591011726,0.4168336673346693,0.2691188907225468,0.1121778141689173,0.012583861991716142,0.00015835358262655813,3.1555112545629424e-10
0.4188376753507014,0.9657880548578375,0.9166521766745704,0.840251213002228,0.7060221009517156,0.5581753406880996,0.4188376753507014,0.2710619827336841,0.11353097072412821,0.012889281313562857,0.00016613357278016065,3.557488560133247e-10
0.42084168336673344,0.9659724714867897,0.9170898247529244,0.8410537466653496,0.7073714047798223,0.5599632969437053,0.42084168336673344,0.2730097288685351,0.11489387387252978,0.01320060225343678,0.00017425589985344025,4.008378534623203e-10
0.4228456913827655,0.9661560469876339,0.9175256011999038,0.8418532288572448,0.7087168589373687,0.5617484457478379,0.4228456913827655,0.2749621180325661,0.11626654690354998,0.01351790992887539,0.00018273388884518785,4.513856432972968e-10
0.4248496993987976,0.9663387891560037,0.9179595228332944,0.8426496855603295,0.7100584925749223,0.5635308047830572,0.4248496993987976,0.2769191392102093,0.1176490130512312,0.013841290271928769,0.00019158131639178996,5.080224243070204e-10
0.42685370741482964,0.966520705678933,0.9183916062413132,0.8434431424144994,0.7113963344860456,0.5653103915377304,0.42685370741482964,0.27888078146392997,0.1190412954946234,0.014170830033038248,0.00020081242382525877,5.714476425065179e-10
0.4288577154308617,0.9667018041368706,0.9188218677868025,0.8442336247232284,0.712730413113321,0.5670872233090666,0.4288577154308617,0.28084703393330973,0.12044341735817292,0.014506616784915029,0.00021044193054437844,6.424372185570116e-10
0.4308617234468938,0.9668820920056481,0.9192503236113286,0.8450211574595324,0.7140607565542479,0.5688613172060881,0.4308617234468938,0.2828178858341446,0.12185540171210639,0.014848738926418819,0.00022048504770494552,7.218514900849676e-10
0.43286573146292584,0.9670615766584028,0.9196769896391874,0.8458057652717982,0.7153873925670122,0.5706326901525438,0.43286573146292584,0.2847933264575575,0.12327727157281047,0.015197285686436465,0.0002309574922351666,8.106439357515827e-10
0.4348697394789579,0.9672402653674554,0.9201018815813194,0.8465874724894845,0.7167103485761337,0.5724013588897632,0.4348697394789579,0.2867733451691258,0.12470904990320701,0.015552347127760574,0.00024187550118236258,9.098707538176758e-10
0.4368737474949899,0.967418165306147,0.9205250149391361,0.8473663031286967,0.7180296516779944,0.574167339979453,0.4368737474949899,0.288757931408022,0.12615075961312383,0.015914014150968152,0.00025325584639721455,1.0207013743309635e-09
