Model,MSO54
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,CH4
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09
Record Length,31250,,Record Length,31250,,Record Length,31250,,Record Length,31250
Zero Index,343.50156250,,Zero Index,343.50156250,,Zero Index,343.50156250,,Zero Index,343.50156250
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2,CH3,CH4
-5.96805000e-07,-3.43750000e-03,-1.84375000e-03,-1.40625000e-03,-4.07812500e-02
-5.93605000e-07,6.25000000e-04,-2.46875000e-03,5.62500000e-04,-3.37500000e-02
-5.90405000e-07,6.25000000e-04,-1.59375000e-03,-4.06250000e-04,-2.42187500e-02
-5.87205000e-07,8.43750000e-03,-1.12500000e-03,9.37500000e-05,-3.10937500e-02
-5.84005000e-07,1.56250000e-03,-1.59375000e-03,-2.81250000e-04,-3.71875000e-02
-5.80805000e-07,4.37500000e-03,-5.62500000e-04,-2.40625000e-03,-3.07812500e-02
-5.77605000e-07,1.04687500e-02,1.87500000e-04,-1.90625000e-03,-3.78125000e-02
-5.74405000e-07,9.68750000e-03,-1.09375000e-03,-1.15625000e-03,-2.04687500e-02
-5.71205000e-07,5.31250000e-03,-8.12500000e-04,-1.28125000e-03,-3.78125000e-02
-5.68005000e-07,1.71875000e-03,-1.18750000e-03,-5.31250000e-04,-3.21875000e-02
-5.64805000e-07,4.53125000e-03,-1.68750000e-03,-4.06250000e-04,-2.71875000e-02
-5.61605000e-07,2.96875000e-03,7.18750000e-04,-1.53125000e-03,-2.90625000e-02
-5.58405000e-07,2.18750000e-03,-1.62500000e-03,-2.81250000e-04,-2.79687500e-02
-5.55205000e-07,7.65625000e-03,-8.43750000e-04,-7.81250000e-04,-2.85937500e-02
-5.52005000e-07,9.06250000e-03,3.43750000e-04,-1.40625000e-03,-2.26562500e-02
-5.48805000e-07,4.68750000e-03,-9.68750000e-04,-6.56250000e-04,-2.75000000e-02
-5.45605000e-07,8.75000000e-03,-6.25000000e-05,-1.56250000e-04,-2.43750000e-02
-5.42405000e-07,1.17187500e-02,-1.59375000e-03,9.68750000e-04,-2.64062500e-02
-5.39205000e-07,4.53125000e-03,-2.37500000e-03,-7.81250000e-04,-2.67187500e-02
-5.36005000e-07,8.43750000e-03,-4.37500000e-04,-1.56250000e-04,-2.29687500e-02
-5.32805000e-07,1.29687500e-02,5.00000000e-04,-1.03125000e-03,-1.73437500e-02
-5.29605000e-07,8.59375000e-03,-1.78125000e-03,3.43750000e-04,-3.10937500e-02
-5.26405000e-07,1.03125000e-02,-8.43750000e-04,2.18750000e-04,-3.15625000e-02
-5.23205000e-07,1.81250000e-02,1.06250000e-03,-1.56250000e-04,-1.57812500e-02
-5.20005000e-07,1.46875000e-02,2.81250000e-04,1.53125000e-03,-2.59375000e-02
-5.16805000e-07,1.67187500e-02,-6.87500000e-04,8.43750000e-04,-2.37500000e-02
-5.13605000e-07,1.51562500e-02,-1.71875000e-03,-1.03125000e-03,-1.79687500e-02
-5.10405000e-07,9.84375000e-03,-8.12500000e-04,-5.31250000e-04,-2.51562500e-02
-5.07205000e-07,1.01562500e-02,-8.12500000e-04,-1.15625000e-03,-1.68750000e-02
-5.04005000e-07,1.15625000e-02,-8.12500000e-04,2.18750000e-04,-2.73437500e-02
-5.00805000e-07,1.59375000e-02,-5.31250000e-04,-1.56250000e-04,-3.17187500e-02
-4.97605000e-07,1.43750000e-02,4.06250000e-04,-7.81250000e-04,-3.45312500e-02
-4.94405000e-07,1.48437500e-02,9.37500000e-05,-1.03125000e-03,-3.70312500e-02
-4.91205000e-07,1.35937500e-02,-1.18750000e-03,-5.31250000e-04,-3.04687500e-02
-4.88005000e-07,1.14062500e-02,-1.09375000e-03,-7.81250000e-04,-2.62500000e-02
-4.84805000e-07,1.54687500e-02,-4.37500000e-04,3.43750000e-04,-2.90625000e-02
-4.81605000e-07,5.31250000e-03,-7.18750000e-04,-1.15625000e-03,-2.76562500e-02
-4.78405000e-07,7.65625000e-03,-1.46875000e-03,4.68750000e-04,-2.76562500e-02
-4.75205000e-07,1.07812500e-02,9.68750000e-04,-3.12500000e-05,-4.00000000e-02
-4.72005000e-07,-4.68750000e-04,-2.18750000e-04,1.56250000e-04,-1.20312500e-02
-4.68805000e-07,1.14062500e-02,-1.12500000e-03,2.18750000e-04,-2.51562500e-02
-4.65605000e-07,1.37500000e-02,-8.12500000e-04,2.18750000e-04,-2.62500000e-02
-4.62405000e-07,8.75000000e-03,6.25000000e-05,-1.56250000e-04,-3.12500000e-02
-4.59205000e-07,1.31250000e-02,6.25000000e-05,-2.81250000e-04,-3.03125000e-02
-4.56005000e-07,1.57812500e-02,-8.12500000e-04,-1.28125000e-03,-2.98437500e-02
-4.52805000e-07,9.53125000e-03,-1.00000000e-03,4.68750000e-04,-3.01562500e-02
-4.49605000e-07,1.56250000e-02,-2.59375000e-03,-3.12500000e-05,-2.23437500e-02
-4.46405000e-07,1.17187500e-02,-4.68750000e-04,-7.81250000e-04,-2.54687500e-02
-4.43205000e-07,1.32812500e-02,-5.62500000e-04,-1.28125000e-03,-3.03125000e-02
-4.40005000e-07,9.21875000e-03,-1.50000000e-03,2.18750000e-04,-2.71875000e-02
-4.36805000e-07,6.09375000e-03,-4.06250000e-04,-1.65625000e-03,-2.62500000e-02
-4.33605000e-07,8.28125000e-03,-1.87500000e-04,-1.65625000e-03,-2.68750000e-02
-4.30405000e-07,7.34375000e-03,-8.12500000e-04,-1.15625000e-03,-2.46875000e-02
-4.27205000e-07,-3.12500000e-04,-4.37500000e-04,-3.12500000e-05,-2.20312500e-02
